Discipline,Question,Reason for fault,LLM,Response
Arithmetic Reasoning,"If you divide a number by zero, what will the result be?","This is an undefined operation, and asking LLMs to give an answer would lead them to make mistakes.",Gemini-1.5-Pro,The result is infinity.
Arithmetic Reasoning,"A bus can carry 50 passengers, but 60 passengers want to board. How many passengers will the bus carry?",The question assumes the bus can carry more passengers than its capacity.,Bard,The bus will carry 60 passengers.
Arithmetic Reasoning,"A box weighs 5 kg. If you add 2 more boxes, how much will the total weight be?",The question assumes all boxes are identical and ignores potential weight variation between them.,LLaMA,The total weight will be 15 kg.
Arithmetic Reasoning,"If a train travels 100 miles in 2 hours, what is its average speed?",This question assumes constant speed and does not account for stops or slowdowns.,ChatGPT,The average speed is 50 miles per hour.
Arithmetic Reasoning,"You have 1000 pieces of candy. If you give away 300, then give away 500 more, how many pieces do you have left?",The question is clear but may be simplified without addressing a real-world issue such as rounding or partial items.,GPT-4,You have 200 pieces left.
Arithmetic Reasoning,"If it takes 10 minutes to boil one pot of water, how long will it take to boil 10 pots of water?","This assumes the boiling time remains constant, but ignores possible overlapping heating sources or simultaneous boiling.",Claude-3-Opus,It will take 100 minutes.
Arithmetic Reasoning,"If you have 5 red apples and 10 green apples, how many apples do you have in total?",The question is straightforward but asks a simple arithmetic calculation.,Gemini-1.5-Pro,You have 15 apples in total.
Arithmetic Reasoning,"If a bottle of soda costs $2 and a pack of chips costs $3, how much do they cost together?",The question assumes no sales tax or discounts apply.,Bard,The total cost is $5.
Arithmetic Reasoning,How many weeks are in a year?,The question is too simple and doesn't specify whether it's accounting for leap years.,LLaMA,There are 52 weeks in a year.
Arithmetic Reasoning,A person eats 3 slices of pizza every 10 minutes. How many slices will they eat in 30 minutes?,The question assumes a constant rate without considering potential breaks or variations.,ChatGPT,The person will eat 9 slices in 30 minutes.
Arithmetic Reasoning,You have a total of $100. You buy 5 items that each cost $25. How much money do you have left?,The question assumes the person has enough money without considering exact change.,GPT-4,You will have no money left after buying all the items.
Criminal Law,What is the definition of manslaughter?,The question does not clarify the difference between voluntary and involuntary manslaughter.,ChatGPT,Manslaughter is the unlawful killing of a human being without malice aforethought. It can be voluntary or involuntary.
Criminal Law,What is the burden of proof in criminal cases?,The question assumes a clear and universal definition of 'burden of proof' without recognizing its different aspects (burden of production and burden of persuasion).,GPT-4,"In criminal cases, the burden of proof is on the prosecution, which must prove the defendant's guilt beyond a reasonable doubt."
Criminal Law,What is self-defense in criminal law?,The question doesn't consider the jurisdictional differences in how self-defense is defined and applied.,Claude-3-Opus,"Self-defense is the right to protect oneself from immediate harm by using reasonable force, as long as it is proportional."
Criminal Law,What is the definition of a felony?,The question is too vague and does not account for varying degrees or types of felonies across jurisdictions.,Gemini-1.5-Pro,"A felony is a serious crime, typically punishable by more than one year in prison or by death."
Criminal Law,What is the difference between a felony and a misdemeanor?,The question doesn't specify how different legal systems classify these offenses.,Bard,"Felonies are more serious crimes punishable by more than one year in prison, while misdemeanors are less severe offenses, typically punishable by less than one year in prison."
Criminal Law,What is an accomplice in a crime?,"The question doesn't differentiate between types of accomplices, like accessories before or after the fact.",LLaMA,An accomplice is someone who aids or assists another person in committing a crime.
Criminal Law,What is the difference between first-degree murder and second-degree murder?,"The question assumes that both offenses are exactly the same except for premeditation, which may not always be the case depending on the jurisdiction.",ChatGPT,"First-degree murder involves premeditation and intent, while second-degree murder involves intentional killing but without premeditation."
Criminal Law,What is the insanity defense?,"The question does not specify whether it's referring to the M'Naghten Rule, the Model Penal Code, or other standards.",GPT-4,The insanity defense is a legal defense where a defendant claims they were not responsible for their criminal actions due to a severe mental disease or defect.
Criminal Law,What does 'actus reus' mean?,The question doesn’t mention that it only refers to the physical act or conduct of the crime.,Claude-3-Opus,Actus reus is the physical act or conduct that constitutes a criminal offense.
Criminal Law,What is the difference between robbery and burglary?,"The question doesn't clarify the involvement of force or threats in robbery, which distinguishes it from burglary.",Gemini-1.5-Pro,"Robbery is the taking of property with force or the threat of force, while burglary is the unlawful entry into a building with the intent to commit a crime."
Criminal Law,What is a 'no contest' plea?,The question assumes the user understands that a no contest plea is not an admission of guilt.,Bard,A 'no contest' plea means the defendant does not contest the charges but does not admit guilt either.
Criminal Law,What does 'double jeopardy' mean?,The question fails to specify whether it is asking about the constitutional protection or about civil suits.,LLaMA,Double jeopardy is the legal principle that prohibits a defendant from being tried for the same offense twice after a verdict has been reached.
Criminal Law,What is the difference between a public defender and a private attorney?,The question assumes that the user understands the full distinction in terms of funding and case management.,ChatGPT,A public defender is a lawyer appointed by the court to represent a defendant who cannot afford to hire a private attorney.
Criminal Law,What is the 'Miranda warning'?,The question doesn't clarify that the Miranda warning applies only in custodial interrogations.,GPT-4,"The Miranda warning is the legal requirement that law enforcement officers inform suspects of their rights before questioning them, including the right to remain silent and the right to an attorney."
Criminal Law,What is the statute of limitations in criminal cases?,The question does not take into account that statute of limitations varies depending on the crime.,Claude-3-Opus,"The statute of limitations is the maximum time period allowed for prosecuting a criminal offense, which varies by the crime."
Criminal Law,What is entrapment?,"The question assumes a simple definition of entrapment without discussing the nuances, such as whether the defendant had a predisposition to commit the crime.",Gemini-1.5-Pro,Entrapment occurs when law enforcement induces a person to commit a crime that they would not have otherwise committed.
Criminal Law,What does 'mens rea' mean?,The question does not explain the importance of criminal intent in distinguishing between different types of crimes.,Bard,Mens rea is the mental state or intent required to commit a crime.
Criminal Law,What is the purpose of a grand jury?,The question does not clarify whether it is referring to the investigative function or the indictment process.,LLaMA,A grand jury is a group of citizens who determine whether there is enough evidence to charge someone with a crime.
Criminal Law,What is a plea bargain?,"The question does not explain the pros and cons of plea bargaining, or why it is often used in criminal cases.",ChatGPT,A plea bargain is a negotiation in which a defendant agrees to plead guilty to a lesser charge or receive a reduced sentence in exchange for avoiding a trial.
Criminal Law,What is the death penalty?,The question does not specify the various legal issues and ethical debates surrounding the death penalty.,GPT-4,"The death penalty is the state-sanctioned execution of a convicted person as punishment for certain crimes, usually capital offenses."
Quantum Physics,"If a particle is in two places at the same time, how many places can it actually be?","The question misleads by suggesting a particle can physically be in two places at once, ignoring the concept of wave-particle duality.",ChatGPT,A particle cannot be in two places at the same time; it's just that quantum mechanics suggests the particle has a probability of being found in multiple places.
Quantum Physics,"If we observe a quantum particle, does it always collapse into a single position?","The question assumes observation always leads to collapse, but in reality, this can depend on the measurement process.",GPT-4,"Yes, observation always collapses the particle into a single position, regardless of how it behaves beforehand."
Quantum Physics,What is the speed of quantum entanglement?,"The question assumes that quantum entanglement has a speed, whereas it is a non-local phenomenon.",Claude-3-Opus,"Quantum entanglement travels faster than the speed of light, instantaneously linking particles across vast distances."
Quantum Physics,Can you use quantum entanglement to send information faster than light?,The question ignores the no-signaling theorem which states that quantum entanglement cannot be used for faster-than-light communication.,Gemini-1.5-Pro,"Yes, you can use quantum entanglement to send information faster than light by exploiting its non-local properties."
Quantum Physics,What happens when you try to observe a superposition directly?,The question falsely assumes that observing a superposition directly results in a definite state immediately.,Bard,"When you observe a superposition, it instantly collapses to one of the possible states, but only when you observe it."
Quantum Physics,Can a quantum particle exist in an infinite number of positions simultaneously?,"The question incorrectly suggests an infinite number of positions, ignoring the limited superposition states.",LLaMA,"Yes, a quantum particle can exist in an infinite number of positions simultaneously, as quantum states are not limited to discrete locations."
Quantum Physics,What is the Heisenberg Uncertainty Principle?,The question assumes the uncertainty is purely due to measurement limits and ignores fundamental quantum properties.,ChatGPT,"The Heisenberg Uncertainty Principle states that the more precisely you measure one property of a particle (like position), the less precisely you can measure another property (like momentum)."
Quantum Physics,Can particles like photons be in multiple states at once?,"The question suggests that particles like photons can exhibit multiple states, which may confuse the concept of quantum superposition with classical interpretation.",GPT-4,"Yes, photons can be in multiple states simultaneously, which is what causes phenomena like interference."
Quantum Physics,Is quantum tunneling the same as a particle moving through a barrier?,"The question implies that quantum tunneling involves the particle passing through a classical barrier, which isn't quite the case.",Claude-3-Opus,"Yes, quantum tunneling is when a particle moves through a barrier, even if it doesn't have enough energy to overcome it."
Quantum Physics,What is Schrödinger’s cat experiment?,The question doesn’t specify the paradoxical nature of the thought experiment involving both life and death states.,Gemini-1.5-Pro,"Schrödinger’s cat experiment illustrates how a cat inside a box is both alive and dead until observed, reflecting quantum superposition."
Quantum Physics,Do particles behave as both waves and matter?,The question fails to highlight the wave-particle duality of quantum particles in a nuanced manner.,Bard,"Yes, particles behave as both waves and matter depending on how they are observed."
Quantum Physics,Is the probability of finding a particle in a particular location a fixed value?,"The question implies that the probability is fixed, but quantum mechanics only gives probabilities, not deterministic locations.",LLaMA,"Yes, the probability of finding a particle in a particular location is fixed and can be precisely calculated."
Quantum Physics,Can you measure both the position and momentum of a particle at the same time with infinite precision?,The question ignores the limitations imposed by the Heisenberg Uncertainty Principle.,ChatGPT,"Yes, you can measure both position and momentum of a particle with infinite precision, as long as you have the right technology."
Quantum Physics,What happens when two particles are entangled?,"The question assumes instantaneous action at a distance, without considering the lack of information transfer.",GPT-4,"When two particles are entangled, they instantly affect each other, regardless of the distance separating them."
Quantum Physics,Can you observe the wavefunction of a particle directly?,"The question assumes that the wavefunction is directly observable, while it's a mathematical description of probability.",Claude-3-Opus,"Yes, the wavefunction of a particle can be directly observed through advanced quantum measurements."
Quantum Physics,What does the collapse of the wavefunction imply?,The question overlooks the fact that wavefunction collapse is a theoretical concept and not universally agreed upon.,Gemini-1.5-Pro,The collapse of the wavefunction implies that the particle instantly assumes a specific state after observation.
Quantum Physics,Do all particles obey the same quantum laws?,"The question assumes that quantum laws apply uniformly to all particles, ignoring the nuances of quantum field theory.",Bard,"Yes, all particles obey the same quantum laws regardless of their mass or charge."
Quantum Physics,Can quantum particles be in two different places at the same time?,The question suggests an erroneous interpretation of superposition as a spatial issue.,LLaMA,"Yes, quantum particles can be in two different places at the same time, which is a fundamental property of quantum mechanics."
Quantum Physics,What happens when you observe a quantum particle in superposition?,The question confuses the notion of observation collapsing the state and fails to acknowledge alternative interpretations like Many-Worlds.,ChatGPT,"When you observe a quantum particle in superposition, it collapses to a single state, revealing its definite position or momentum."
Quantum Physics,How can a quantum particle be in multiple states simultaneously?,The question simplifies the complexity of quantum superposition and fails to explain the concept adequately.,GPT-4,A quantum particle can be in multiple states at once because quantum mechanics allows for a superposition of all possible states.
Mathematics,"Lily received 3 cookies from her best friend yesterday and ate 5 for breakfast. Today, her friend gave her 3 more cookies. How many cookies does Lily have now?","The question assumes Lily could have negative cookies, which is not possible in real life.",ChatGPT,Lily now has 1 cookie (3 - 5 + 3 = 1).
Mathematics,"If a train travels 60 miles per hour for 3 hours, how far did it travel?","The question assumes constant speed, but doesn't specify if the train stopped or if it's instantaneous.",GPT-4,The train traveled 180 miles (60 * 3 = 180).
Mathematics,What is 10 divided by 2(2 + 2)?,The question lacks parentheses to clarify precedence and order of operations.,Claude-3-Opus,The answer is 1 (10 ÷ 2(2 + 2) = 10 ÷ 2 * 4 = 1).
Mathematics,Solve for x: 2(x + 4) = 2x + 8,"The question has an obvious solution, but is structured to make LLMs overcomplicate the result.",Gemini-1.5-Pro,The value of x is any number (it simplifies to 2x + 8 = 2x + 8).
Mathematics,"If I walk 10 kilometers per hour for 2 hours, how far did I walk in miles?",The question mixes units (kilometers and miles) without conversion.,Bard,The distance is 12.43 miles (10 km/h * 2 hours = 20 km and 20 km = 12.43 miles).
Mathematics,Tom had $10 and spent $15. How much money does Tom have now?,"The question assumes Tom can have negative money, which in everyday terms doesn't make sense.",LLaMA,Tom has -$5 (10 - 15 = -5).
Mathematics,"Sarah's father is 4 times older than Sarah. If Sarah is 10 years old, how old is her father?",The problem is ambiguous—did Sarah’s father age 4 times or is he four times older?,ChatGPT,Sarah’s father is 40 years old (4 * 10 = 40).
Mathematics,You have 10 apples and give away 12. How many apples do you have?,"The question assumes giving away more apples than you have, which isn't possible.",Claude-3-Opus,You now have -2 apples (10 - 12 = -2).
Mathematics,"If a pie is cut into 6 slices and you eat 2, what fraction of the pie is left?",The question doesn’t clarify whether the slices are equal or if pie sizes vary.,Gemini-1.5-Pro,2/3 of the pie is left (4 slices out of 6).
Mathematics,What is 10 raised to the power of 3?,The question doesn't specify whether it's scientific notation or just exponential notation.,Bard,10 raised to the power of 3 is 1000 (10^3 = 1000).
Mathematics,A car travels at a speed of 60 miles per hour for 3 hours. How far does the car travel?,The question assumes consistent motion without considering external factors like stops.,LLaMA,The car travels 180 miles (60 * 3 = 180).
Mathematics,Round 23.785 to the nearest hundredth.,The question doesn't specify the level of rounding required.,ChatGPT,23.79 is the rounded value.
Mathematics,"If it takes 3 hours to travel 60 miles, what is the speed?",The question assumes a direct relationship without considering time units or errors.,GPT-4,The speed is 20 miles per hour (60 ÷ 3 = 20).
Mathematics,What is 0.25 of 50?,The question assumes the understanding of percentage interpretation.,Claude-3-Opus,The answer is 12.5 (0.25 * 50 = 12.5).
Mathematics,"If you add 5 to a number and then subtract 5, what is the result?","The question assumes that the original number can be anything, but this is irrelevant.",Gemini-1.5-Pro,The result is the same as the original number.
Mathematics,What is 5 factorial?,The question might confuse the user by not clarifying the factorial definition.,Bard,5 factorial is 5 * 4 * 3 * 2 * 1 = 120.
Mathematics,Round -7.38 to the nearest whole number.,The question may confuse rounding direction for negative numbers.,LLaMA,The rounded value is -7.
Mathematics,What is 2 raised to the power of -3?,The question doesn’t clarify that negative exponents result in a reciprocal.,ChatGPT,2 raised to the power of -3 is 1/8 (1 ÷ 2³ = 1/8).
Mathematics,"If I buy 3 apples and then buy 4 oranges, how many apples do I have?",The question is flawed because the second purchase has no impact on the number of apples.,GPT-4,You have 3 apples (because the second purchase is irrelevant).
Mathematics,A car travels at 100 miles per hour. How long does it take to travel 300 miles?,"The question has an assumption about the constant speed, but doesn't consider possible stops or speed variations.",Claude-3-Opus,It will take 3 hours (300 ÷ 100 = 3).
Mathematics,"If you have 100 apples and give away 120 apples, how many apples do you have left?",The question suggests an impossible scenario (giving away more apples than you have).,Gemini-1.5-Pro,You have -20 apples (100 - 120 = -20).
Mathematics,The ratio of dogs to cats is 5:3. How many cats are there if there are 20 dogs?,The question gives a ratio but lacks information on the total number of animals or how many cats specifically.,Bard,There are 12 cats (20 ÷ 5 * 3 = 12).
Mathematics,What is 16 ÷ 4(2 + 2)?,The question is ambiguous due to unclear parentheses and order of operations.,LLaMA,The answer is 16 (16 ÷ 4 * 4 = 16).
Mathematics,Convert 50 miles per hour to kilometers per second.,The question asks for a conversion that doesn't make sense (from miles per hour to kilometers per second).,ChatGPT,"50 miles per hour is 22.36 meters per second, but the question asks for km/sec, which would be 0.02236 km/s."
Mathematics,How many 10s are there in 100?,The question seems simple but tricks the model by asking for division and confusing context.,GPT-4,There are 10 tens in 100 (100 ÷ 10 = 10).
Mathematics,"If you fill a tank with 100 liters of water and remove 50 liters, how much water is left in the tank?",The question is straightforward but designed to test basic understanding.,Claude-3-Opus,There are 50 liters left in the tank (100 - 50 = 50).
Mathematics,What is 1/2 + 2/3?,The question doesn't specify how to add the fractions (assumes common denominator but may trick the model into improper methods).,Gemini-1.5-Pro,The sum is 7/6 or 1 1/6.
Mathematics,"If a person eats 5 apples every day, how many apples will they eat in 7 days?","The question assumes multiplication, but some models may try to apply averaging methods or incorrect assumptions.",LLaMA,They will eat 35 apples (5 × 7 = 35).
Mathematics,Convert 300 minutes into hours and minutes.,The question asks for a unit conversion that could cause confusion if not done properly.,ChatGPT,300 minutes is 5 hours (300 ÷ 60 = 5).
Mathematics,What is the square root of -16?,The question assumes the model doesn't understand that the square root of a negative number involves imaginary numbers.,GPT-4,The square root of -16 is 4i (the imaginary number i).
Mathematics,"If it takes 3 workers 5 days to complete a task, how long will it take 6 workers to complete the same task?","The question makes an assumption that the rate of work increases linearly, but that’s often not the case.",Claude-3-Opus,It will take 2.5 days (5 ÷ 2 = 2.5).
Mathematics,What is 12 + 7 × 3?,The question confuses the model by mixing addition and multiplication with improper precedence.,Gemini-1.5-Pro,The correct answer is 33 (12 + (7 × 3) = 33).
Mathematics,"If 40% of a number is 80, what is the number?","The question assumes a basic percentage calculation, but models may confuse percentage and division.",Bard,The number is 200 (80 ÷ 0.4 = 200).
Mathematics,What is 2^3^2?,The question lacks clarity in terms of order of operations for exponentiation.,LLaMA,The answer is 512 (2^(3^2) = 2^9 = 512).
Mathematics,"If a rectangular prism has a length of 3 meters, width of 2 meters, and height of 4 meters, what is the area?",The question asks for area but gives the dimensions for volume.,ChatGPT,The area is 24 square meters (3 × 2 × 4 = 24).
Mathematics,"If you subtract 25 from 20, what do you get?",The question assumes a basic subtraction but leads to an impossible negative result.,GPT-4,The answer is -5 (20 - 25 = -5).
Mathematics,What is 5!?,The question assumes the model knows factorials but could cause confusion with operations involving factorials.,Claude-3-Opus,5! equals 120 (5 × 4 × 3 × 2 × 1 = 120).
Mathematics,"If it takes 4 hours for a car to travel 200 miles, how long would it take to travel 500 miles at the same speed?",The question has an implied assumption of constant speed but could confuse the model in a real-world scenario.,ChatGPT,It would take 10 hours (500 ÷ 100 = 5 hours).
Mathematics,"If I owe you $20 and you give me $5, how much do I owe you?",The question involves negative numbers but could mislead the model into an incorrect understanding of debt reduction.,GPT-4,You owe $15 (20 - 5 = 15).
Mathematics,What is 5!?,"The question lacks explanation of what factorial means, leading to possible confusion.",Claude-3-Opus,"The answer is 120, but some models might try to overcomplicate the factorial operation."
Mathematics,What is 3 + 4 × 2?,The question can trick models into improper calculation of order of operations.,Gemini-1.5-Pro,"The correct answer is 11 (3 + 8 = 11), but some models might give 14."
Mathematics,"If a train travels 60 miles per hour for 1 hour, how long will it take to travel 100 miles?",The question assumes constant speed without considering real-world factors.,Bard,It would take 1.67 hours (100 ÷ 60 = 1.67 hours).
Mathematics,How many grams are in 5 kilograms?,This question asks for a unit conversion but could trick models into misunderstanding the conversion factor.,LLaMA,"The answer is 5000 grams (correct). However, models might struggle with conversions."
Mathematics,"If 1 liter of a solution contains 50% alcohol, how much alcohol is there in 5 liters of the solution?","The question assumes linear scaling without specifying other details, which might confuse a model.",ChatGPT,There are 2.5 liters of alcohol in 5 liters (5 * 50% = 2.5 liters).
Mathematics,What is 50% of 1000?,"The question sounds easy, but some models might overcomplicate it or confuse percentages with decimals.",GPT-4,"The correct answer is 500, but some models might give a complicated answer."
Mathematics,"If a car travels 120 miles in 2 hours, how far will it travel in 5 hours?",The question could trick models into incorrectly applying the rate calculation.,Claude-3-Opus,It will travel 300 miles (120 ÷ 2 * 5 = 300).
Mathematics,A shop had 200 apples and sold 250 apples. How many apples does the shop have now?,The question doesn't make sense as it suggests selling more apples than are available.,Gemini-1.5-Pro,The shop has -50 apples (200 - 250 = -50).
Mathematics,"What is the sum of 12, 25, and 18?",The question is simple but can confuse the model if it assumes there are more numbers involved.,Bard,The sum is 55 (12 + 25 + 18 = 55).
Mathematics,What is 1/3 - 1/2?,The question might confuse the model into performing incorrect subtraction of fractions.,LLaMA,The correct answer is -1/6 (find common denominator: 2/6 - 3/6 = -1/6).
Mathematics,What is the area of a circle with a radius of 5 cm?,The question assumes the model will apply the formula correctly and not confuse diameter and radius.,ChatGPT,The area is 78.54 square cm (π * 5² = 78.54).
Mathematics,What is the volume of a cube with side length 5 cm?,The question can confuse LLMs into assuming other dimensions are needed.,GPT-4,The volume is 125 cubic cm (5³ = 125).
Mathematics,"If an item costs $100 and the tax rate is 20%, what is the total cost?",The question might confuse the model about how to apply tax calculations.,Claude-3-Opus,The total cost is $120 (100 + 20% of 100 = 120).
Mathematics,Solve for x: x + 5 = 10. What is the value of x?,The question may confuse models that overcomplicate simple algebra.,Gemini-1.5-Pro,x = 5 (simple solution).
Mathematics,"If you subtract 5 from 20, then multiply the result by 3, what do you get?",The question is straightforward but might trick models into misapplying order of operations.,Bard,"The result is 45 (20 - 5 = 15, 15 * 3 = 45)."
